MOVE: STRUGGLE
TYPE: NORMAL
POWER: 50
DEFENSE: DEFENSE
ACC: 100
SELF: RECOIL
QUEUE_ONLY: YES

MOVE: TACKLE
TYPE: NORMAL
DEFENSE: DEFENSE
POWER: 35
ACC: 95
PP: 35

MOVE: GROWL
TYPE: NORMAL
ACC: 100
PP: 40
TARGET: ATTACK_DOWN

MOVE: LEECH SEED
TYPE: GRASS
ACC: 90
PP: 10
TARGET: SEED

MOVE: VINE WHIP
TYPE: GRASS
DEFENSE: DEFENSE
POWER: 35
ACC: 100
PP: 10

MOVE: POISON POWDER
TYPE: POISON
ACC: 75
PP: 35
TARGET: POISON

MOVE: RAZOR LEAF
TYPE: GRASS
ACC: 95
DEFENSE: DEFENSE
POWER: 55
CRITICAL: HIGH
PP: 25

MOVE: GROWTH
TYPE: NORMAL
ACC: 100
PP: 40
SELF: SPECIAL_UP

MOVE: SLEEP POWDER
TYPE: GRASS
ACC: 75
PP: 15
TARGET: SLEEP

MOVE: SOLAR BEAM
TYPE: GRASS
QUEUE: SOLARBEAM1 SOLARBEAM2
PP: 10

MOVE: SOLARBEAM1
TYPE: GRASS
ACC: 100
DESC: NAME gathered sunlight...
QUEUE_ONLY: YES

MOVE: SOLARBEAM2
DESC: NAME used SOLAR BEAM!
TYPE: GRASS
ACC: 100
POWER: 120
DEFENSE: SPECIAL
QUEUE_ONLY: YES

MOVE: TAIL WHIP
TYPE: NORMAL
ACC: 100
TARGET: DEFENSE_DOWN
PP: 30

MOVE: BUBBLE
TYPE: WATER
DEFENSE: SPECIAL
ACC: 100
POWER: 20
PP: 30
TARGET: SPEED_DOWN:10

MOVE: WATER GUN
TYPE: WATER
DEFENSE: SPECIAL
ACC: 100
POWER: 40
PP: 25

MOVE: BITE
TYPE: NORMAL
DEFENSE: DEFENSE
ACC: 100
POWER: 60
PP: 25
TARGET: FLINCH:10

MOVE: WITHDRAW
TYPE: WATER
ACC: 100
PP: 40
SELF: DEFENSE_UP

MOVE: SKULL BASH
TYPE: NORMAL
QUEUE: SKULLBASH1 SKULLBASH2
PP: 15

MOVE: SKULLBASH1
TYPE: NORMAL
DESC: NAME lowered its head...
QUEUE_ONLY: YES

MOVE: SKULLBASH2
DESC: NAME used SKULL BASH!
TYPE: NORMAL
ACC: 100
POWER: 100
DEFENSE: DEFENSE
QUEUE_ONLY: YES

MOVE: HYDROPUMP
TYPE: WATER
ACC: 80
POWER: 120
PP: 5
DEFENSE: SPECIAL

MOVE: SCRATCH
TYPE: NORMAL
ACC: 100
POWER: 40
PP: 35
DEFENSE: DEFENSE

MOVE: EMBER
TYPE: FIRE
ACC: 100
PP: 25
POWER: 40
DEFENSE: SPECIAL
TARGET: BURN:10

MOVE: LEER
TYPE: NORMAL
ACC: 100
PP: 30
TARGET: DEFENSE_DOWN

MOVE: RAGE
TYPE: NORMAL
ACC: 100
POWER: 20
PP: 20
SELF: RAGE
DEFENSE: DEFENSE

MOVE: SLASH
TYPE: NORMAL
ACC: 100
POWER: 70
PP: 20
CRITICAL: HIGH
DEFENSE: DEFENSE

MOVE: FLAMETHROWER
TYPE: FIRE
ACC: 100
POWER: 95
PP: 15
DEFENSE: SPECIAL
TARGET: BURN:10

MOVE: FIRE SPIN
TYPE: FIRE
ACC: 70
POWER: 15x2-5
PP: 15
DEFENSE: SPECIAL
TARGET: FLINCH

MOVE: STRING SHOT
TYPE: BUG
ACC: 95
PP: 40
TARGET: SPEED_DOWN

MOVE: HARDEN
TYPE: NORMAL
ACC: 100
PP: 30
SELF: DEFENSE_UP

MOVE: CONFUSION
TYPE: PSYCHIC
ACC: 100
POWER: 50
PP: 25
DEFENSE: SPECIAL
TARGET: CONFUSE:10

MOVE: STUN SPORE
TYPE: GRASS
ACC: 75
PP: 30
TARGET: PARALYZE

MOVE: SUPERSONIC
TYPE: NORMAL
ACC: 55
PP: 20
TARGET: CONFUSE

MOVE: WHIRLWIND
TYPE: NORMAL
ACC: 85
PP: 20
TARGET: FLEE

MOVE: PSYBEAM
TYPE: PSYCHIC
ACC: 100
POWER: 65
PP: 20
DEFENSE: SPECIAL
TARGET: CONFUSE:10

MOVE: POISON STING
TYPE: POISON
ACC: 100
POWER: 15
PP: 35
DEFENSE: DEFENSE
TARGET: POISON:30

MOVE: FURY ATTACK
TYPE: NORMAL
ACC: 85
POWER: 15x2-5
DEFENSE: DEFENSE
PP: 20

MOVE: FOCUS ENERGY
TYPE: NORMAL
PP: 30
SELF: FOCUS

MOVE: TWIN NEEDLE
TYPE: BUG
ACC: 100
POWER: 25x2
PP: 20
TARGET: POISON:20
DEFENSE: DEFENSE

MOVE: PIN MISSILE
TYPE: BUG
ACC: 85
POWER: 14x2-5
PP: 20
DEFENSE: DEFENSE

MOVE: AGILITY
TYPE: PSYCHIC
ACC: 100
PP: 30
SELF: SPEED_UP SPEED_UP

MOVE: GUST
TYPE: FLYING
ACC: 100
POWER: 40
PP: 35
DEFENSE: SPECIAL

MOVE: QUICK ATTACK
TYPE: NORMAL
ACC: 100
POWER: 40
PP: 30
DEFENSE: DEFENSE
SPECIAL: FIRST

MOVE: WING ATTACK
TYPE: FLYING
ACC: 100
POWER: 55
PP: 25
DEFENSE: DEFENSE

MOVE: MIRROR MOVE
TYPE: FLYING
ACC: 100
PP: 20
SPECIAL: ENEMY_LAST

MOVE: SAND ATTACK
TYPE: NORMAL
ACC: 100
PP: 15
TARGET: ACCURACY_DOWN
