MOVE: STRUGGLE
TYPE: NORMAL
POWER: 50
DEFENSE: DEFENSE
ACC: 100
SELF: RECOIL:50
QUEUE_ONLY: YES

MOVE: TACKLE
TYPE: NORMAL
DEFENSE: DEFENSE
POWER: 35
ACC: 95
PP: 35

MOVE: GROWL
TYPE: NORMAL
ACC: 100
PP: 40
TARGET: ATTACK_DOWN

MOVE: LEECH SEED
TYPE: GRASS
ACC: 90
PP: 10
TARGET: SEED

MOVE: VINE WHIP
TYPE: GRASS
DEFENSE: DEFENSE
POWER: 35
ACC: 100
PP: 10

MOVE: POISON POWDER
TYPE: POISON
ACC: 75
PP: 35
TARGET: POISON
SPECIAL: STATUS_IMMUNITY:POISON

MOVE: RAZOR LEAF
TYPE: GRASS
ACC: 95
DEFENSE: DEFENSE
POWER: 55
CRITICAL: HIGH
PP: 25

MOVE: GROWTH
TYPE: NORMAL
ACC: 100
PP: 40
SELF: SPECIAL_UP

MOVE: SLEEP POWDER
TYPE: GRASS
ACC: 75
PP: 15
TARGET: SLEEP
SPECIAL: STATUS_IMMUNITY:GRASS

MOVE: SOLAR BEAM
TYPE: GRASS
QUEUE: SOLARBEAM1 SOLARBEAM2
PP: 10

MOVE: SOLARBEAM1
TYPE: GRASS
ACC: 100
DESC: NAME gathered sunlight...
QUEUE_ONLY: YES

MOVE: SOLARBEAM2
DESC: NAME used SOLAR BEAM!
TYPE: GRASS
ACC: 100
POWER: 120
DEFENSE: SPECIAL
QUEUE_ONLY: YES

MOVE: TAIL WHIP
TYPE: NORMAL
ACC: 100
TARGET: DEFENSE_DOWN
PP: 30

MOVE: BUBBLE
TYPE: WATER
DEFENSE: SPECIAL
ACC: 100
POWER: 20
PP: 30
TARGET: SPEED_DOWN:10

MOVE: WATER GUN
TYPE: WATER
DEFENSE: SPECIAL
ACC: 100
POWER: 40
PP: 25

MOVE: BITE
TYPE: NORMAL
DEFENSE: DEFENSE
ACC: 100
POWER: 60
PP: 25
TARGET: FLINCH:10

MOVE: WITHDRAW
TYPE: WATER
ACC: 100
PP: 40
SELF: DEFENSE_UP

MOVE: SKULL BASH
TYPE: NORMAL
QUEUE: SKULLBASH1 SKULLBASH2
PP: 15

MOVE: SKULLBASH1
TYPE: NORMAL
DESC: NAME lowered its head...
QUEUE_ONLY: YES

MOVE: SKULLBASH2
DESC: NAME used SKULL BASH!
TYPE: NORMAL
ACC: 100
POWER: 100
DEFENSE: DEFENSE
QUEUE_ONLY: YES

MOVE: HYDROPUMP
TYPE: WATER
ACC: 80
POWER: 120
PP: 5
DEFENSE: SPECIAL

MOVE: SCRATCH
TYPE: NORMAL
ACC: 100
POWER: 40
PP: 35
DEFENSE: DEFENSE

MOVE: EMBER
TYPE: FIRE
ACC: 100
PP: 25
POWER: 40
DEFENSE: SPECIAL
TARGET: BURN:30
SPECIAL: STATUS_IMMUNITY:FIRE

MOVE: LEER
TYPE: NORMAL
ACC: 100
PP: 30
TARGET: DEFENSE_DOWN

MOVE: RAGE
TYPE: NORMAL
PP: 20
QUEUE: RAGE1

MOVE: RAGE1
TYPE: NORMAL
ACC: 100
POWER: 20
SELF: RAGE
DEFENSE: DEFENSE
QUEUE: RAGE1
DESC: NAME used RAGE!
QUEUE_ONLY: YES

MOVE: SLASH
TYPE: NORMAL
ACC: 100
POWER: 70
PP: 20
CRITICAL: HIGH
DEFENSE: DEFENSE

MOVE: FLAMETHROWER
TYPE: FIRE
ACC: 100
POWER: 95
PP: 15
DEFENSE: SPECIAL
TARGET: BURN:10
SPECIAL: STATUS_IMMUNITY:FIRE

MOVE: FIRE SPIN
TYPE: FIRE
QUEUE: FIRESPIN1 FIRESPIN2x0-3 FIRESPIN3
PP: 15

MOVE: FIRESPIN1
TYPE: FIRE
ACC: 85
POWER: 15
DEFENSE: DEFENSE
TARGET: FLINCH TRAP BURN:10
SPECIAL: CLEAR_QUEUE_ON_FAIL
QUEUE_ONLY: YES

MOVE: FIRESPIN2
TYPE: NORMAL
ACC: 100
POWER: 15
DEFENSE: DEFENSE
SPECIAL: FIRST UNAVOIDABLE
TARGET: FLINCH TRAP BURN:10
QUEUE_ONLY: YES

MOVE: FIRESPIN3
TYPE: NORMAL
ACC: 100
POWER: 15
DEFENSE: DEFENSE
SPECIAL: FIRST UNAVOIDABLE
QUEUE_ONLY: YES
TARGET: BURN:10

MOVE: STRING SHOT
TYPE: BUG
ACC: 95
PP: 40
TARGET: SPEED_DOWN

MOVE: HARDEN
TYPE: NORMAL
ACC: 100
PP: 30
SELF: DEFENSE_UP

MOVE: CONFUSION
TYPE: PSYCHIC
ACC: 100
POWER: 50
PP: 25
DEFENSE: SPECIAL
TARGET: CONFUSE:10

MOVE: STUN SPORE
TYPE: GRASS
ACC: 75
PP: 30
TARGET: PARALYZE
SPECIAL: STATUS_IMMUNITY:GRASS

MOVE: SUPERSONIC
TYPE: NORMAL
ACC: 55
PP: 20
TARGET: CONFUSE

MOVE: WHIRLWIND
TYPE: NORMAL
ACC: 85
PP: 20
TARGET: FLEE

MOVE: PSYBEAM
TYPE: PSYCHIC
ACC: 100
POWER: 65
PP: 20
DEFENSE: SPECIAL
TARGET: CONFUSE:10

MOVE: POISON STING
TYPE: POISON
ACC: 100
POWER: 15
PP: 35
DEFENSE: DEFENSE
TARGET: POISON:30
SPECIAL: STATUS_IMMUNITY:POISON

MOVE: FURY ATTACK
TYPE: NORMAL
ACC: 85
POWER: 15x2-5
DEFENSE: DEFENSE
PP: 20

MOVE: FOCUS ENERGY
TYPE: NORMAL
PP: 30
SELF: FOCUS

MOVE: TWIN NEEDLE
TYPE: BUG
ACC: 100
POWER: 25x2
PP: 20
TARGET: POISON:20
DEFENSE: DEFENSE
SPECIAL: STATUS_IMMUNITY:POISON

MOVE: PIN MISSILE
TYPE: BUG
ACC: 85
POWER: 25x2-5
PP: 20
DEFENSE: DEFENSE

MOVE: AGILITY
TYPE: PSYCHIC
ACC: 100
PP: 30
SELF: SPEED_UP SPEED_UP

MOVE: GUST
TYPE: FLYING
ACC: 100
POWER: 40
PP: 35
DEFENSE: SPECIAL

MOVE: QUICK ATTACK
TYPE: NORMAL
ACC: 100
POWER: 40
PP: 30
DEFENSE: DEFENSE
SPECIAL: FIRST

MOVE: WING ATTACK
TYPE: FLYING
ACC: 100
POWER: 55
PP: 25
DEFENSE: DEFENSE

MOVE: MIRROR MOVE
TYPE: FLYING
ACC: 100
PP: 20
SPECIAL: ENEMY_LAST

MOVE: SAND ATTACK
TYPE: NORMAL
ACC: 100
PP: 15
TARGET: ACCURACY_DOWN

MOVE: HYPER FANG
TYPE: NORMAL
ACC: 90
POWER: 80
PP: 15
DEFENSE: DEFENSE
TARGET: FLINCH:10

MOVE: SUPER FANG
TYPE: NORMAL
ACC: 90
PP: 10
DEFENSE: DEFENSE
TARGET: HALF_HP

MOVE: DRILL PECK
TYPE: FLYING
ACC: 100
POWER: 80
PP: 20
DEFENSE: DEFENSE

MOVE: PECK
TYPE: FLYING
ACC: 100
POWER: 35
PP: 35
DEFENSE: DEFENSE

MOVE: WRAP
TYPE: NORMAL
QUEUE: WRAP1 WRAP2x0-3 WRAP3
PP: 20

MOVE: WRAP1
TYPE: NORMAL
ACC: 85
POWER: 10
DEFENSE: DEFENSE
TARGET: FLINCH TRAP
SPECIAL: CLEAR_QUEUE_ON_FAIL
QUEUE_ONLY: YES

MOVE: WRAP2
TYPE: NORMAL
ACC: 100
POWER: 10
DEFENSE: DEFENSE
SPECIAL: FIRST UNAVOIDABLE
TARGET: FLINCH TRAP
QUEUE_ONLY: YES

MOVE: WRAP3
TYPE: NORMAL
ACC: 100
POWER: 10
DEFENSE: DEFENSE
SPECIAL: FIRST UNAVOIDABLE
QUEUE_ONLY: YES

MOVE: GLARE
TYPE: NORMAL
ACC: 85
PP: 30
TARGET: PARALYZE

MOVE: SCREECH
TYPE: NORMAL
ACC: 85
PP: 40
TARGET: DEFENSE_DOWN DEFENSE_DOWN

MOVE: ACID
TYPE: POISON
ACC: 100
POWER: 40
PP: 30
DEFENSE: SPECIAL
TARGET: DEFENSE_DOWN:10

MOVE: THUNDERSHOCK
TYPE: ELECTRIC
ACC: 100
POWER: 40
PP: 30
DEFENSE: SPECIAL
TARGET: PARALYZE:10
SPECIAL: STATUS_IMMUNITY:ELECTRIC

MOVE: THUNDER WAVE
TYPE: ELECTRIC
ACC: 100
PP: 20
TARGET: PARALYZE
SPECIAL: STATUS_IMMUNITY:ELECTRIC

MOVE: THUNDER
TYPE: ELECTRIC
ACC: 70
POWER: 120
PP: 10
DEFENSE: SPECIAL
TARGET: PARALYZE:10
SPECIAL: STATUS_IMMUNITY:ELECTRIC

MOVE: SWIFT
TYPE: NORMAL
ACC: 100
POWER: 60
PP: 20
DEFENSE: SPECIAL
SPECIAL: UNAVOIDABLE

MOVE: FURY SWIPES
TYPE: NORMAL
ACC: 80
POWER: 18x2-5
PP: 15
DEFENSE: DEFENSE

MOVE: BODY SLAM
TYPE: NORMAL
ACC: 100
POWER: 85
PP: 15
DEFENSE: DEFENSE
TARGET: PARALYZE:30

MOVE: DOUBLE KICK
TYPE: FIGHTING
ACC: 100
POWER: 30x2
PP: 30
DEFENSE: DEFENSE

MOVE: HORN ATTACK
TYPE: NORMAL
ACC: 100
POWER: 65
PP: 25
DEFENSE: DEFENSE

MOVE: HORN DRILL
TYPE: NORMAL
ACC: 30
PP: 5
TARGET: KO

MOVE: THRASH
TYPE: NORMAL
PP: 20
QUEUE: THRASH1 THRASH1 THRASH2

MOVE: THRASH1
