NAME
Pewter City
NPCS
viridian-city-boy boy 10 20 WANDER
INTERACTIONS
MENU:ALERT:Those POK{e-accent} BALLs at your waist!{NEWLINE}You have POK{e-accent}MON!|MENU:ALERT:It's great that you can carry and use POK{e-accent}MON any time, anywhere!
END
TELEPORT
18 41 route2 13 1
19 41 route2 14 1
DATA
1     1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
1     1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
1     1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
1     1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
1     1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1
1     1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  76  76  76  76  76  76
106 106 106 107   2   3  93  93  93  93  70  71  71  71  71  71  71  72 102  71  71  71  71 103   1   1   1   1   1   1  93  93  93  93   1  76  76  76  76  76
96   96  96  97   3   2  94  94  94  94  67  68  68  68  68  68  68  69 104  68  68  68  68 105  76  76  76  76   1   1  94  94  94  94   1  76  76  76  76  76
96   96  96  97   2   3  93  93  93  93 191 190 190 190 190 190 190 195 108  65  65  65  65 109   1   1   1   1   1   1  93  93  93  93   1  76  76  76  76  76
96   96  96  97   3   2  94  94  94  94 194 193 193 193 193 193 193 196 110  15 164 164 164 112   1   1  76  76   1   1  94  94  94  94   1  76  76  76  76  76
96   96  96  97  56  56   1   1   1   1 108  65  65  65  65  65  65 109  56  56   1   1   1   1   1   1   1  76   1   1   1   1   1   1   1  76  76  76  76  76
96   96  96  97  78  78  77  79  77  77 110 164 164 164  15  58 164 112  78  78  77  77  77  77  77  77  77  76  77  77  77  79  77  77  77  76  76  76  76  76
96   96  96  97   2   3   2   3   2   3   2   3   2   3  56  56   2   3   2   3   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  76  76  76  76  76
96   96  96  97   3   2   3   2   3   2   3   2   3   2  56   5   3   2   3   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  76  76  76  76  76
96   96  96  97   2   3  93  93  93  93  93  93  93  93  93  93  93  93   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3 165 106 106 106 106 106
96   96  96  97   3   2  94  94  94  94  94  94  94  94  94  94  94  94   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2 158  96  96  96  96  96
96   96  96  97   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   1   1   1   1   1   1   1   1   8   9   9  13   2   3 158  96  96  96  96  96
96   96  96  97   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   1   1   1   1   1   1   1   1   7  15  11  12   3   2 158  96  96  96  96  96
96   96  96  97   2   3   1   1   1   1   2   3  70  71  71  71  71  72   2   3   2   3 102  71  71 103   2   3   2   3   2   3   2   3 158  96  96  96  96  96
96   96  96  97   3   2   1   1   1   1   3   2  67  68  68  68  68  69   3   2   3   2 104  68  68 105   3   2   3   2   3   2   3   2 162  99  99  99  99  99
96   96  96  97   2   3   1   1   1   1  56  56  61  62 100 101  62  66   2   3   1   1 108  65  65 109   1   1   1   1   1   1   2   3   2   3   2   3   2   3
96   96  96  97   3   2   1   1   1   1  56   5  57  58  58  58  15  60   3   2   1   1 110  15 111 112   1   1   1   1   1   1   3   2   3   2   3   2   3   2
96   96  96  97   2   3   2   3   2   3   2   3   2   3   2   3   2   3  55   3   2   3   2   3   2   3   2   3   2   3   2   3  56  56   2   3   2   3   2   3
96   96  96  97   3   2   3   2   3   2   3   2   3   2   3   2   3   2  55   2   3   2   3   2   3   2   3   2   3   2   3   2  56   5   3   2   3   2   3   2
96   96  96  97   2   3   1   1   1   1   2   3   1   1   1   1   1   1  55   3   1   1   1   1   1   1   1   1   1   1   1   1   2   3 165 106 106 106 106 106
96   96  96  97  76  76  76  76  76  76  76  76  76  76  76  76  76  76  55   2   1   1   1   1   1   1   1   1   1   1   1   1   3   2 158  96  96  96  96  96
96   96  96  97   2   3   2   3   2   3   2   3 102  71  71 103   2   3   2   3  56  56  56  56  56  56  56  56  56  56  56  56   2   3 158  96  96  96  96  96
96   96  96  97   3   2   3   2   3   2   3   2 104  68  68 105   3   2   3   2  56  56	 55  55  55   5  55  55  55  55  56  56   3   2 158  96  96  96  96  96
96   96  96  97   2   3   1   1   1   1   1   1 108  65  65 109  93  93   2   3   1  76  93  93  93  93  93  93  93  93  76   1   2   3 158  96  96  96  96  96
96   96  96  97   3   2   1   1   1   1   1   1 110  15 113 112  94  94   3   2   1  76  94  94  94  94  94  94  94  94  76   1   3   2 162  99  99  99  99  99
96   96  96  97   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   1  76  93  93  93  93  93  93  93  93  76   1   2   3   1   0   1   1   1   1
96   96  96  97   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   1  76  94  94  94  94  94  94  94  94  76   1   3   2   1   0   1   1   1   1
96   96  96  97   2   3   8   9   9  13  93  93   1   1   1   1   1   1  56  56   1  76   1   1   1   1   1   1   1   1  76   1   2   3   1   0   1   1   1   1
96  189  99  98   3   2   7  15  11  12  94  94   1   1   1   1   1   1  56   5   1  76  77  77  77  79  77  77  77  77  76   1   3   2   1   0   1   1   1   1
96   97   0   0   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   1   0   1   1   1   1
96   97   0   0   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   1   0   1   1   1   1
96   97   0   0   0   0   0   0   0   0   0   0  76  76  76  76  76  76   2   3  76  76  76  76  76  76   0   0   0   0   0   0   0   0   0   0   1   1   1   1
99   98   1   1   1   1   1   1   1   1   1   1  76  76  76  76  76  76   3   2  76  76  76  76  76  76   1   1   1   1   1   1   1   1   1   1   1   1   1   1
1     1   1   1   1   1   1   1   1   1   1   1  76  76  76  76  76  76   2   3  76  76  76  76  76  76   1   1   1   1   1   1   1   1   1   1   1   1   1   1
1     1   1   1   1   1   1   1   1   1   1   1  76  76  76  76  76  76   3   2  76  76  76  76  76  76   1   1   1   1   1   1   1   1   1   1   1   1   1   1
76   76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76   2   3  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76
76   76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76   3   2  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76
