NAME
Celadon Mansion
NPCS
celadon-dept-sign1 blank 2 2
INTERACTIONS
MENU:ALERT:This is an elevator.
END
TELEPORT
4 12 celadon-city 27 14
4 0 celadon-city 27 7
7 1 celadon-mansion 7 20
7 19 celadon-mansion 7 2
2 1 celadon-mansion 3 19
2 19 celadon-mansion 3 1
DATA
82  82   17  17 557 552  17  17
82  82  558 554 554 552 554 558
548 550 504 550 548 551 554 554
502  85 505  85 502 552 554 554
502 502 502 502 502 552 554 554
502 502 502 502 502 552 554 554
48   52 502 502 549 552 554 554
23   24 502 502 554 553 554 554
502 502 502 502 554 554 554 554
548 548 548 548 555 556 554 554
554 554 554 554 554 554 554 554
554 554 554 554 499 499 554 554
82   82  82  82 166 166
82
82
82
82
82
82   82  17  17  17 552  17  17
82   82 524 554 558 552 558 524
35   35  35  35  35 551 554 554
36   36  36  36  36 552 554 554
502 502 502 502 502 552 554 554
275 276 502 502 502 552 554 554
277 502 502 501 501 552 554 554
27  502 502 500 500 553 554 554
28  502 502 502 554 554 554 554
548 548 548 548 555 556 554 554
554 554 554 554 554 554 554 554
554 554 554 554 499 499 554 554
